username,name,content,time,likes,reply,retweet
@Ashlin_1528,ᏗᏰ,"படத்தையாச்சும் பொங்கலுக்கு எறக்குவிங்களா இல்ல அவங்க Enjoy பண்ணனும்னு Postponed பண்ணிடுவியா'டா புண்ட மவனே 
@SureshChandraa
 ... 

#Thunivu  #WorstPROSureshChandra",2022-12-02T13:55:01.000Z,1,1,1
@Sankar_sgd,♚Sᴀɴᴋᴀʀ♚,"Ivanunga Update postponed pannathu kooda prechana illa 

Nethu varaikkum theatre ku aluthuttu iruntha anilunga ippa bayanthu ooditom nu kikiki panraanunha paaru

Elei punda 
@SureshChandraa
 

#Thunivu",2022-12-02T13:54:59.000Z,None,None,None
@abjectboy,Adam Loretz,"Yo Twitter Peeps! 
I’ve had a two productions postponed, so got availability now/December to assist, film or edit. 
My info is here http://loretzvisuals.co.uk

#videoproducer #cameraperson #videoeditor #fcpx",2022-12-02T13:54:32.000Z,None,None,None
@Tina2259902329,Tina 22,"@RRPSpeaks
 sir exams postponed kra bds and bams",2022-12-02T13:54:29.000Z,None,None,None
@Madhan_JD,мα∂нαиᴹᵃᵈᵈʸ,"@SureshChandraa
 va potu adikaranunga
Thunivu Postponed nu Update vara poguthu 
#Varisu 
@actorvijay",2022-12-02T13:54:13.000Z,None,None,None
@hbswany,HBS Women's Assoc,POSTPONED TILL SPRING!,2022-12-02T13:53:38.000Z,None,None,None
@JebaVijay3,Jeba vijay,"நீங்க #Varisu விடுற அதே date ல அடிப்பாரு

Thunivu update postponed",2022-12-02T13:53:38.000Z,None,None,None
@Akash01981972,ⱽʲ 𝐀𝐊𝐀𝐒𝐇,#ThunivuUpdate postponed because of the arrival of #TheeThalapathy  #Varisu,2022-12-02T13:53:37.000Z,1,1,1
@Tina2259902329,Tina 22,"@OfficeofUT
 sir bds bams exam postponed kra plz sir",2022-12-02T13:53:32.000Z,None,None,None
@Tina2259902329,Tina 22,"@rautsanjay61
 sir bds bams exam postponed kra please sir",2022-12-02T13:52:44.000Z,None,None,None
@dhawalc,Chheda Capital Management (CCM),So going to the moon  postponed for now?,2022-12-02T13:52:42.000Z,None,None,None
@VMT_Official,𝗩 𝗠 𝗧 ッ,"கைஸ் Postponed நியூஸ் வந்துருச்சு..

இன்னொரு ரவுண்டு போவோமா.. நாளை நமதே & 40 Minutes to go.. 

#Thunivu",2022-12-02T13:52:15.000Z,6,6,6
@NobleLocal_SD,Noble Local Schools,Tonight’s junior high boys’ basketball games at home against Fort Frye have been postponed due to lack of officials. ,2022-12-02T13:51:58.000Z,None,None,None
@aravinthnb,தளபதி (Arvi),Ithu enna puthusa Apdiye padathayum postponed nu poda poranga.. aamainga katharapoanga  #varisu #VarisuPongal2023 #Thunivupostponed  #Thunivu #BiggBoss6Tamil,2022-12-02T13:51:58.000Z,1,1,1
@sri_ashutosh08,Ashutosh Srivastava,"#Thunivu update postponed ..
Me as Ajith sir fan right now",2022-12-02T13:51:50.000Z,3,3,3
